0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:34 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:34 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:37:19 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:37:19 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:37:26 +0900] "GET /sns-project/sns/alert.html?msg=123123 HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:37:26 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:38:50 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:38:50 +0900] "GET /sns-project/sns/mainAlarmTrue.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:39:46 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:39:46 +0900] "GET /sns-project/sns/images/mainAlarmTrue.png HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:40:11 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:41:13 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:41:45 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [19/Apr/2023:14:42:40 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:01:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:07:36 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:07:49 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:07:50 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:08:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:25 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:26 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:26 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:26 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:26 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:27 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:10:39 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:12:56 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:20:51 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:07 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:11 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:11 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:12 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:14 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:14 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:15 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:15 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:26:15 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:15 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:18 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:34 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:35 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:32:35 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:17:03:39 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
